Pitcher,BFP,BAP,MaxOpp,BAP_per_BFP,BAP_per_MaxOpp
Clarke Schmidt,8,-6,21,-0.75,-0.2857142857142857
Jonathan LoA!isiga,24,-22,77,-0.9166666666666666,-0.2857142857142857
Paul Fry,56,-38,130,-0.6785714285714286,-0.2923076923076923
Ralph Garza,12,-5,17,-0.4166666666666667,-0.29411764705882354
Brooks Raley,5,-5,16,-1,-0.3125
Gregory Soto,7,-5,16,-0.7142857142857143,-0.3125
Kyle Bradish,109,-40,123,-0.3669724770642202,-0.3252032520325203
Danny Coulombe,8,-2,6,-0.25,-0.3333333333333333
Jandel Gustave,4,-2,6,-0.5,-0.3333333333333333
Wandy Peralta,17,-3,9,-0.17647058823529413,-0.3333333333333333
Collin Snider,7,-5,15,-0.7142857142857143,-0.3333333333333333
Archie Bradley,7,-8,24,-1.1428571428571428,-0.3333333333333333
Aroldis Chapman,21,-16,48,-0.7619047619047619,-0.3333333333333333
Travis Lakins Sr.,52,-30,86,-0.5769230769230769,-0.3488372093023256
Kodi Whitley,8,-5,14,-0.625,-0.35714285714285715
Lucas Luetge,22,-19,52,-0.8636363636363636,-0.36538461538461536
Kevin Gausman,25,-7,19,-0.28,-0.3684210526315789
Matt Barnes,5,-2,5,-0.4,-0.4
Austin Davis,3,-6,14,-2,-0.42857142857142855
Phillips ValdA(C)z,14,-18,42,-1.2857142857142858,-0.42857142857142855
Carlos HernA!ndez,25,-19,44,-0.76,-0.4318181818181818
Justin Grimm,9,-7,16,-0.7777777777777778,-0.4375
Marcos DiplA!n,4,-8,18,-2,-0.4444444444444444
Dylan Bundy,23,-21,45,-0.9130434782608695,-0.4666666666666667
JosA(C) Suarez,19,-9,19,-0.47368421052631576,-0.47368421052631576
Jorge Lopez,5,-12,25,-2.4,-0.48
Ryan Tepera,5,-12,23,-2.4,-0.5217391304347826
Austin Warren,7,-5,9,-0.7142857142857143,-0.5555555555555556
Eric Lauer,19,-12,21,-0.631578947368421,-0.5714285714285714
Julian Merryweather,4,-2,3,-0.5,-0.6666666666666666
Zach Logue,6,-2,3,-0.3333333333333333,-0.6666666666666666
Ron Marinaccio,7,-6,8,-0.8571428571428571,-0.75
